id,period,kind,key,pdf_id,pdf_page,section,end_section,label,occurrence,column,printed,value,provider_field
2025-12-31/income_tax_payable,2025-12-31,instant,income_tax_payable,1225090973,168,27、应交税费,28、其他应付款,企业所得税,0,0,"275,891,927.71",275891927.71,
2025-12-31/trading_forward_asset,2025-12-31,instant,trading_forward_asset,1225090973,145,2、交易性金融资产,3、衍生金融资产,未到期远期外汇合约,0,0,"20,235,805.69",20235805.69,
2025-12-31/loan_interest,2025-12-31,ytd,loan_interest,1225090973,179,48、财务费用,49、其他收益,贷款及应付款项的利息支出,0,0,"44,880,583.46",44880583.46,
2025-12-31/lease_interest,2025-12-31,ytd,lease_interest,1225090973,179,48、财务费用,49、其他收益,租赁负债的利息支出,0,0,"7,170,520.22",7170520.22,
2025-12-31/fx_loss,2025-12-31,ytd,fx_loss,1225090973,179,48、财务费用,49、其他收益,净汇兑亏损,0,0,"-88,814,557.52",-88814557.52,
2025-12-31/fees,2025-12-31,ytd,fees,1225090973,179,48、财务费用,49、其他收益,手续费及其他,0,0,"133,289,889.28",133289889.28,
2025-12-31/cash_discount,2025-12-31,ytd,cash_discount,1225090973,179,48、财务费用,49、其他收益,现金折扣,0,0,"-2,281,000.48",-2281000.48,
2025-12-31/associate_income,2025-12-31,ytd,associate_income,1225090973,180,50、投资收益,51、公允价值变动收益,权益法核算的长期股权投资收益,0,0,"25,075,229.91",25075229.91,
2025-12-31/equity_disposal,2025-12-31,ytd,equity_disposal,1225090973,180,50、投资收益,51、公允价值变动收益,处置长期股权投资产生的投资收益,0,0,-,0.00,
2025-12-31/dividend_income,2025-12-31,ytd,dividend_income,1225090973,180,50、投资收益,51、公允价值变动收益,其他权益工具投资在持有期间取得的股利收入,0,0,"3,842,541.43",3842541.43,
2025-12-31/forward_realized,2025-12-31,ytd,forward_realized,1225090973,180,50、投资收益,51、公允价值变动收益,处置远期外汇合约产生的收益,0,0,"116,342,144.35",116342144.35,
2025-12-31/wealth_income,2025-12-31,ytd,wealth_income,1225090973,180,50、投资收益,51、公允价值变动收益,购买金融理财产品取得的利息收入,0,0,"101,221,106.25",101221106.25,
